Arranged number,Number,Book,Brand,Shade Name,Description,Finish,Stamping Polish,Topper/Effect,Notes
265,263,3,Sweet and Sour Lacquers,April Showers,Glitter bomb with blue shards and pink umbrellas,Glitter Bomb,,,April 21 Duo
264,264,3,Sweet and Sour Lacquers,Bone to be Wild,"Glitter bomb with chunky glitter (black), stars, and white skulls",Glitter Bomb,,,October 21 Duo
272,265,3,Swamp Gloss,Nooope,Purple (Cold) to Blue (Warm) Thermal with Purple Flakies,Thermal,,Thermal ,Hella Handmade Creations September '21
270,266,3,Zombie Claw,Warrior Kalona,Grey with Iridescent Flakies,Flakies,,,Hella Handmade Creations September '21
273,267,3,Bees Knees Lacquers,You Mom,Grey with Purple Holo Shift,Multichrome,,,Hella Handmade Creations September '21
274,268,3,My Indie Polish,Phoenix,"Gunmetal Grey, Green, Red Multichrome",Multichrome,,,Polished Gamers Box September '21
271,269,3,NeVerMind ,Get Over Here,Gold and Black Glitters in a Yellow Jelly Base,Jelly & Glitter,,,Polished Gamers Box September '21
275,270,3,Leesha's Lacquers,I Need Some Space,Black Jelly Base with Rainbow Circle Glitters,Jelly & Glitter,,,Polished Gamers Box September '21
269,271,3,Black Dahlia Lacquer,Psychedelic Carpet Ride,Black Jelly Base with Large Pastel Iridescent Flakies,Jelly & Glitter,,,Polished Gamers Box September '21
259,272,3,Holo Taco,Existential Crisis,"Burgundy, Bronze, Yellow Navy Multichrome Holo with Glitter",Glitter Multichrome,,,Birthay 2021 Launch
260,273,3,Holo Taco,Frozen Benanas,Metallic polish with foil flakes and scattered holographic pigment in a light yellow-gold base,Foil,,,Birthay 2021 Launch
276,274,3,Lucky13 Lacquer,The Incident with the Dragon,"Forest Green with Orange, Red, Gold Flakies",Jelly & Glitter,,,October 21 PPU
277,275,3,Vanessa Molina,Water Guardian,"Aqua to White Thermal with Blue, Green Flakies",Thermal,,Thermal ,October 21 PPU
281,276,3,Mooncat/LLP,Raven,Matte Deep Eggplant,Matte,,,Live Love Polish Relaunch
282,277,3,Mooncat/LLP,Ocean Lies,Shifting Baby Blue,Shimmer,,,Live Love Polish Relaunch
283,278,3,Mooncat/LLP,Live Love Transform,Royal Purple with Flakies,Flakies,,,Live Love Polish Relaunch
284,279,3,Cirque Colors,Dream Within a Dream,"Indigo jelly with  magnetic Multichrome  pink, amber, green",Magnetic,,Magnetic,
285,280,3,Cirque Colors,Mobius,"Forest green jelly with  magnetic Multichrome teal, purple, pink",Magnetic,,Magnetic,
286,281,3,Cirque Colors,Paradox,"Dark purple jelly  with  magnetic Multichrome blue, fuchsia, red",Magnetic,,Magnetic,
278,282,3,Vanessa Molina,Are You Ready?,Purple Blue to Sky Blue Thermal with Rainbow Flakies,Thermal,,Thermal ,Polished Gamers Box October '21
291,283,3,Holo Taco,Plum Luck,Silver and magenta holographic glitters in a plum purple ,Jelly & Glitter,,,Cristmas 2021
292,284,3,Holo Taco,Gold Play Button,Gold holographic glitters in a light yellow-gold jelly base,Jelly & Glitter,,,Cristmas 2021
293,285,3,Holo Taco,Everything is Pine,Silver and green holographic glitters in a bright green jelly base,Jelly & Glitter,,,Cristmas 2021
294,286,3,Holo Taco,Choco-Holo,Gold holographic glitters in a brown jelly base,Jelly & Glitter,,,Cristmas 2021
295,287,3,Holo Taco,Black Holo Wish,Silver and black holographic glitters in a black jelly base,Jelly & Glitter,,,Cristmas 2021
296,288,3,Holo Taco,Naughty List,Silver and red holographic glitters in a deep red jelly base,Jelly & Glitter,,,Cristmas 2021
321,289,3,Crystal Knockout,Giggle,"Pink Jelly with Pink Circle, Blue Star, and Silver Micro Glitter",Jelly,,,November 21 PPU
322,290,3,Atomic Polish,Once I Make My Move,Silver and Black Glitter in a Clear Base - Full coverage in 2 coats,Glitter,,,November 21 PPU (Mislabeled) 
301,291,3,Bees Knees Lacquers,The Black Lion,"Black Crelly with Metallic Silver, Gold Flakies",Crelly,,,Empire of the Vampire Collection
302,292,3,Bees Knees Lacquers,Duskdancer,White Crelly with Blue/Green Shift and Silver Microglitters,Crelly,,,Empire of the Vampire Collection
303,293,3,Bees Knees Lacquers,Empress of Wolves and Men (2x),Silver with Green Shift and Green Glitter,Crelly,,,Empire of the Vampire Collection
279,294,3,Vanessa Molina,Burning Soul,Bronze Iridescent Flakies in a Brown Base,Thermal,,Thermal ,Polished Gamers Box November '21
306,295,3,Bees Knees Lacquers,Blood Ilon,"Purple, Green, Blue Flakie Bomb",Flakies,,,Empire of the Vampire Collection
304,296,3,Bees Knees Lacquers,I'm a Fucking Queen,"Teal, Gold, Blue Multichrome with Blue Microglitter",Multichrome,,,Empire of the Vampire Collection
305,297,3,Bees Knees Lacquers,Silversaint,Metallic Brushed Silver with Silver Flakies,Metallic,,,Empire of the Vampire Collection
307,298,3,Bees Knees Lacquers,Blood Dyvok,Green and Burgundy Flakie Bomb (Similar to Blood Voss),Flakies,,,Empire of the Vampire Collection
308,299,3,Bees Knees Lacquers,Blood Voss,Finer Burgundy and Green Flakie Bomb (Similar to Blood Dyvok),Flakies,,,Empire of the Vampire Collection
323,300,3,Phoenix (EDK),I Blow Stuff Up,Hot Pink with Blue Shimmer,Crème,,,Hella Handmade Creations December '21
325,301,3,Sweet and Sour Lacquers,When the Arrow Strikes the Sap,Speckled Black with Red Multichrome Shimmer,Crème,,,Polished Gamers Box December '21
324,302,3,Penelope Luz,Game Room,Purple with Blue Shimmer,Crème,,,Polished Gamers Box December '21
309,303,3,Bees Knees Lacquers,Opposites Attract,Silver Reflective Microglitter Magnetic,Reflective Glitter,,Magnetic,PPMM Group Custom
267,304,3,Holo Taco,Laven-duh,Lavender Crème,Crème,,,Winter Shimmers Collection
258,305,3,Holo Taco,Shady Navy,Navy Blue Crème,Crème,,,Winter Shimmers Collection
297,306,3,Holo Taco,Twilight Shimmer,Blue-Purple Shimmer Topper,Shimmer,,Topper,Winter Shimmers Collection
298,307,3,Holo Taco,Polar Princess,Pink-Yellow Shimmer Topper,Shimmer,,Topper,Winter Shimmers Collection
299,308,3,Holo Taco,Celestial Lights,Green Shimmer Topper,Shimmer,,Topper,Winter Shimmers Collection
326,309,3,Night Owl Lacquer,Sweet & Spicy,Green Metallic with Linear Golden Holo,Metallic,,,January 22 PPU
329,310,3,KBShimmer,Say It Ain't Cilantro,Sage Green Reflective Glitter,Reflective Glitter,,,January 22 PPU
330,311,3,Dany Vianna,Cinnabon Sugah,Sliver and Brown Reflective Glitter,Reflective Glitter,,,January 22 PPU
327,312,3,Cuticula,Chip Chip Hooray,Plum Jelly with Rainbow Flakies (Tostito's Salsa Inspired),Flakies,,,January 22 PPU
328,313,3,Fancy Gloss,Dried Roses,Dusty Green to Blue to Pink Trithermal with Flakies (Looks Like Watermelon),Thermal,,Thermal ,January 22 PPU
331,314,3,Vanessa Molina,Dark Opal,Purple to Blue Multichrome Reflective Glitter Magnetic ,Reflective Glitter,,Magnetic,January 22 PPU
311,315,3,Bees Knees Lacquers,Pure Chaos,Royal Blue Jelly with Red/Pink Flakies,Flakies,,,Witcher Collection
312,316,3,Bees Knees Lacquers,Toss a Coin to Your Witcher,Green Bronze Multichrome with Linear Holo,Holo,,,Witcher Collection
313,317,3,Bees Knees Lacquers,F*ck,Maroon Navy Multichrome with Silver Reflective Glitter,Reflective Glitter,,,Witcher Collection
310,318,3,Bees Knees Lacquers,Forget the Bottle,White Red Orange Multichrome with Silver Reflective Glitter,Reflective Glitter,,,Witcher Collection
334,319,3,Dam! Nail Polish,Five More Minutes,Orange Jelly Base with Orange Reflective Glitter and White Glitter Chunks,Reflective Glitter,,,Snooze Collection
335,320,3,Dam! Nail Polish,Sleep Tight,Blue Jelly Base with Blue Reflective Glitter and White Glitter Chunks ,Reflective Glitter,,,Snooze Collection
336,321,3,Dam! Nail Polish,I Started the Dam Thing,Silver Jelly Base with Silver Reflective Glitter and White and Black Glitter Chunks,Reflective Glitter,,,Snooze Collection
288,322,3,Holo Taco,Here for the Payday,Lime Green Crème,Crème,,,Work/Life Balance Collection
289,323,3,Holo Taco,Bored Meeting,Neon Blue Crème,Crème,,,Work/Life Balance Collection
290,324,3,Holo Taco,Work Bestie,Royal Purple Crème,Crème,,,Work/Life Balance Collection
332,325,3,Phoenix (EDK),I Am Fire,Lilac Jelly with Silver Reflective Glitter and Fire Opal Flakies,Reflective Glitter,,,Hella Handmade Creations February '22
333,326,3,Sweet and Sour Lacquers,Dancing All Night,Silver Rainbow Holo with Purple Multichrome Flakies,Flakies,,,Polished Gamers Box February '22
314,327,3,Bees Knees Lacquers,Perhaps I Should Turn You Into A Toad,Navy Blue/Olive Multichrome with Golden Olive Reflective Glitter,Reflective Glitter,,,Olive Lovers Group Custom April 2022
280,328,3,NeVerMind ,Patina,Copper Blue with Blue and Gold Reflective Glitters and Chunky Gold Flakes,Reflective Glitter,,,April 22 PPU
315,329,3,Bees Knees Lacquers,The River Queen,Deep Teal with Blue Reflective Glitter,Reflective Glitter,,,HOSaB Collection (Mystery)
316,330,3,Bees Knees Lacquers,The Hind,Forest Green with Gold Reflective Glitter,Reflective Glitter,,,HOSaB Collection (Mystery)
317,331,3,Bees Knees Lacquers,Prince of Nothing,"Purple, Gold Multichome",Multichrome,,,HOSaB Collection
318,332,3,Bees Knees Lacquers,We'll Carve Our Own Paths,"Rose, Gold, Green Multichrome",Multichrome,,,HOSaB Collection
319,333,3,Bees Knees Lacquers,Captain Whatever,"Bronze, Green Multichrome",Multichrome,,,HOSaB Collection
341,334,3,Bees Knees Lacquers,Where are the Dead Bodies,"Clear base with gold to green sibling UP shimmer, with sky blue light reflective glitter",Reflective Glitter,,,Lore Olympus Collection
342,335,3,Bees Knees Lacquers,The Hellhound,smoky charcoal jelly base loaded with red to green unicorn pee pigment and silver light reflective glitters,Reflective Glitter,,,HOSaB Collection (Mystery)
337,336,3,Lucky13 Lacquer,I Move the Stars for No One,Lilac with holographic glitter; Glows in the Dark,Glow in the Dark,,,May 22 PPU
343,337,3,Bees Knees Lacquers,Jesiba,Smokey Amethyst with Silver Reflective Glitter,Reflective Glitter,,,HOSaB Collection (Mystery)
346,338,3,Bees Knees Lacquers,Paladin Mike,Aqua with Gold Shimmer and Reflective Glitter,Reflective Glitter,,,Tina's Tiny Wonderland Collection
347,339,3,Bees Knees Lacquers,Crit Happens,Golden Yellow with Reflective Glitter,Reflective Glitter,,,Tina's Tiny Wonderland Collection
381,341,4,Paint Box,Like Lilac,Pastel Lilac Purple,Crème,,,Marie Birthday Gift 2022
382,342,4,Paint Box,Like Muse,Vivid Magenta Purple,Crème,,,Marie Birthday Gift 2022
300,343,3,Bees Knees Lacquers,Doomicorn,Pale Purple to Blue Shimmer,Shimmer,,,July 22 PPU Rewind
338,344,3,Night Owl Lacquer,Candy Coated,Soft Blue-Purple with Rainbow Flakies,Flakies,,,July 22 PPU Rewind
339,345,3,Phoenix (EDK),Poppies? Blue Poppies?,Blue Reflective Glitter Chunky Topper,Reflective Glitter,,Topper,July 22 PPU Rewind
340,346,3,NeVerMind ,Make for the Bridge,Steel Grey with Coppery Red Flakies,Flakies,,,July 22 PPU Rewind
470,347,4,Holo Taco,Reflective Taco,Silver Reflective Glitter Topper,Reflective Glitter,,Topper,3rd Anniversary Gala Collection
367,348,4,Holo Taco,Blacklisted,Black Metallic Foil with Scattered Holo,Holo,,,3rd Anniversary Gala Collection
368,349,4,Holo Taco,Smokeshow,Grey Jelly Base with Different Size & Shape Holo Glitters,Glitter,,,3rd Anniversary Gala Collection
369,350,4,Holo Taco,Highest Bidder,Silver-grey scattered holographic,Holo,,,3rd Anniversary Gala Collection
370,351,4,Holo Taco,Featured Guest,Dove Grey to White Linear Holo,Holo,,,3rd Anniversary Gala Collection
348,352,4,Bees Knees Lacquers,Crowded AF,"Purple, Blue Multichrome with Red Reflective Glitter",Reflective Glitter,,,Hella Handmade Creations May 2022
349,353,4,Bees Knees Lacquers,Imugi,Pale Green with a Blue Shimmer and Green Reflective Glitter,Reflective Glitter,,,March 22 Monthly Monster 
350,354,4,Bees Knees Lacquers,RIP Bulbasaur,Sheer Teal with Blue Flakies,Flakies,,,Rainbow Connection UK Custom
383,355,4,Black Dahlia Lacquer,Immortal Glow,Pinky White Pearl with Gold and Pink Reflective Glitters,Reflective Glitter,,,August 22 PPU
384,356,4,Crystal Knockout,Sea Serendipity,Silver with Pink Shimmer and Holo Rainbow Glitter,Holo,,,August 22 PPU
385,357,4,Sweet and Sour Lacquers,Don't Fear the Reefer,"Black with Purple, Pink, Bronze Flakies",Flakies,,,August 22 PPU
375,358,4,Mooncat/LLP,Amuck! Amuck! Amuck!,Purple magnetic lacquer with blue iridescent Flakies,Magnetic,,,Hocus Pocus 2 Collection
376,359,4,Mooncat/LLP,Dab of Newt,Lime green magnetic lacquer with teal iridescent Flakies,Magnetic,,,Hocus Pocus 2 Collection
377,360,4,Mooncat/LLP,Melaka Mystica,Navy Purple magnetic lacquer with pink iridescent Flakies,Magnetic,,,Hocus Pocus 2 Collection
378,361,4,Mooncat/LLP,Reclaim the Flame,Crimson magnetic lacquer with pink iridescent Flakies,Magnetic,,,Hocus Pocus 2 Collection
379,362,4,Mooncat/LLP,Black Flame Candle,Black magnetic lacquer with pink iridescent Flakies,Magnetic,,,Hocus Pocus 2 Collection
380,363,4,Mooncat/LLP,"We're Back, Witches",Emerald black magnetic lacquer with lime green iridescent Flakies ,Magnetic,,,Hocus Pocus 2 Collection
358,364,4,Holo Taco,Double Dare,Black Red Multichrome with Red Reflective Glitter,Reflective Glitter,,,Birthday 2022 Launch
366,365,4,Holo Taco,Favorite Sister,Bright Red Foil,Foil,,,Birthday 2022 Launch
287,366,4,Holo Taco,Resting Witch Face,Cool Purple,Crème,,,Birthday 2022 Launch
386,367,4,Baroness X,Sequins & Bubbly,Steel Grey with Rainbow Glitter and Silver Reflective Glitter,Reflective Glitter,,,October 22 PPU
387,368,4,Paint It Pretty,"10,000 Years Will Give You Such a Crick in the Neck",Blue with Blue Green Flakies,Flakies,,,October 22 PPU
388,369,4,BCB Lacquers,"See, You Missed Your Mock Window ",Black Base with Emerald Flakies,Flakies,,,October 22 PPU
389,370,4,Sassy Cats,Respect the Suit,Grey with Blue Glitter and Flakies,Flakies,,,October 22 PPU
411,371,4,Bees Knees Lacquers,Law of Surprise,Royal Blue with Pink/Purple Shift,Holo,,,Witcher Collection
320,372,4,Bees Knees Lacquers,Lady of Flame,Red with Orange Gold Shift,Shimmer,,,Gift from Chi-Chi
390,373,4,Vanessa Molina,Let's Boogie Up,Dark Purple Green Shift Magnetic Gold Stripe,Magnetic,,,September 22 PPU
391,374,4,Dany Vianna,That Wicked Witch,Black with Baby Pink and Silver Reflective Glitter,Reflective Glitter/GitD,,,September 22 PPU
392,375,4,Dainty Digits ,Cute Little Son of a Witch,Blue Green Teal Shift with Silver Reflective Glitter,Reflective Glitter,,,September 22 PPU
393,376,4,Wildflower Lacquer,Ghostly Good Time,Purple Jelly with Multi-Colored Glass Flakies,Flakies,,,September 22 PPU
394,377,4,Phoenix (EDK),Never Gets Old,Blue with Red Gold Shift and Shards,Glitter,,,Hella Handmade Creations September '22
395,378,4,Phoenix (EDK),Lotus Easters,Purple Jelly with Blue and Orange Glass Flakies,Flakies,,,Hella Handmade Creations September '23
351,379,4,Holo Taco,Lost in the Woods,Hunter Green Linear Holo,Holo,,,Dark Rainbow Collection
352,380,4,Holo Taco,Sunken Secrets,Dark Blue Linear Holo,Holo,,,Dark Rainbow Collection
353,381,4,Holo Taco,Violet Nightmares,Royal Purple Linear Holo,Holo,,,Dark Rainbow Collection
354,382,4,Holo Taco,Dead Petals,Maroon Linear Holo,Holo,,,Dark Rainbow Collection
355,383,4,Holo Taco,Crimson Void,Dried Blood Linear Holo,Holo,,,Dark Rainbow Collection
356,384,4,Holo Taco,Burnt Bridges,Brown Linear Holo,Holo,,,Dark Rainbow Collection
357,385,4,Holo Taco,Amber Apathy,Old Gold Linear Holo,Holo,,,Dark Rainbow Collection
396,386,4,Lilypad Lacquer,That's a Pretty Ugly Sweater,Blue with Copper Maroon Flakies,Flakies,,,November 22 PPU
412,387,4,Bees Knees Lacquers,It Is My Punishment,Blackened Violet with Silver Reflective Glitter,Reflective Glitter,,,WWDiTS 3 Collection
413,388,4,Bees Knees Lacquers,Examine My Massive Dowry ,Blue with Orange Shimmer,Shimmer,,,WWDiTS 3 Collection (GWP)
414,389,4,Bees Knees Lacquers,Weaver of the Woods 2.0,Olive Green with Gold Flakies,Flakies,,,A Court of Pain & Feels 2.0 Mystery
415,390,4,Bees Knees Lacquers,Death & Fury,Plum with Sliver Scattered Holo,Holo,,,Kingdom of the Wicked (GWP)
344,391,4,Bees Knees Lacquers,Agent Silverbow,Hot Pink with Plummy Blue Shimmer,Shimmer,,,HOSaB Collection (Mystery)
416,392,4,Bees Knees Lacquers,Wait for Me Where the Land Meets the Sea,Turquoise with Aqua Reflective Glitter,Reflective Glitter,,,The Girl Who Fell Beneath the Sea Mystery
417,393,4,Bees Knees Lacquers,Well of Memory,Bright Blue with Blue Shimmer,Shimmer,,,Kingdom of the Wicked (GWP)
,Destash,4,Bees Knees Lacquers,Star Witch (Traded),Deep Purple with Blue Green Shimmer,Shimmer,,,Kingdom of the Wicked (GWP)
419,395,4,Bees Knees Lacquers,Arachnomancy,Deep Moody Purple with Burning Ghost Flakes,Flakies,,,Magic Collection
345,396,4,Bees Knees Lacquers,Dusk's Truth,Royal Blue with Gold Reflective Glitter,Reflective Glitter,,,HOSaB Collection
401,397,4,Olive & June,Obvi,Gold Glitter with Rainbow Glitter Mix,Glitter,,,Olive & June Advent Calendar 2022
402,398,4,Olive & June,Besties,Teal,Crème,,,Olive & June Advent Calendar 2022
403,399,4,Olive & June,OJSM,Silvery Copper,Metallic,,,Olive & June Advent Calendar 2022
468,400,4,Holo Taco,Red Flake Taco,Red Foil Flake Topper,Foil,,Topper,12 Days of Cristmas 2022
469,401,4,Holo Taco,Silver Flake Taco,Silver Foil Flake Topper,Foil,,Topper,12 Days of Cristmas 2022
456,402,4,BCB Lacquers,Snowveralls,Neon Magenta with Black Speckles and Purple Flakies,Crelly,,,Indie Mixed Tapes Advent Calendar 2022
457,403,4,Swamp Gloss,Moonboots Looking Good,Light Blue Crelly with Light and Dark Blue Speckles and Glitter Pieces,Crelly,,,Indie Mixed Tapes Advent Calendar 2022
458,404,4,Swamp Gloss,Clarissa Explains It All,"Teal Crelly with Blue, Pink, Yellow Chunky Octagon Glitter and Iridescent Flakies",Crelly,,,Indie Mixed Tapes Advent Calendar 2022
459,405,4,BCB Lacquers,Let's Build a Snow Fort,Silvery White with Golden Holo,Holo,,,Indie Mixed Tapes Advent Calendar 2022
460,406,4,Swamp Gloss,How to Talk to Your Crush,Black Jelly Base with Burgundy Flakies,Flakies,,,Indie Mixed Tapes Advent Calendar 2022
461,407,4,BCB Lacquers,What Fun is There is Making Any Sense?,Blueish Silver Rainbow Holographic,Holo,,,Indie Mixed Tapes Advent Calendar 2022
462,408,4,Swamp Gloss,You'll Have to Live with the Partridge Family,Black to Blue Thermal Crelly with Pink and Blue Matte Pieces,Thermal,,,Indie Mixed Tapes Advent Calendar 2022
463,409,4,BCB Lacquers,IDK Let Me Check My Mood Ring,Teal with Blue Magnetic with Reflective Glitter,Magnetic,,,Indie Mixed Tapes Advent Calendar 2022
464,410,4,Swamp Gloss,Couple's Skate Only,Royal Blue with Red/Purple Shimmer and Aqua Reflective Glitter,Glow in the Dark,,,Indie Mixed Tapes Advent Calendar 2022
465,411,4,BCB Lacquers,I Killed the Teen Dream. Deal With It.,Eggnog Crelly with Rainbow Foil Glitter,Crelly,,,Indie Mixed Tapes Advent Calendar 2022
466,412,4,Swamp Gloss,We Need More TP,Black Holo,Holo,,,Indie Mixed Tapes Advent Calendar 2022
467,413,4,BCB Lacquers,Am I Being Punked Right Now?,Peachy Orange Holo,Holo,,,Indie Mixed Tapes Advent Calendar 2022
404,414,4,Olive & June,HD,Solid White Crème,Crème,,,Olive & June Advent Calendar 2022
420,415,4,Bees Knees Lacquers,House Vengeance,Dusty Rose Holo with Green Shimmer,Holo,,,Kingdom of the Wicked
421,416,4,Bees Knees Lacquers,As Above So Below,Deep Violet with Blue Shimmer and Holo,Holo,,,Kingdom of the Wicked
422,417,4,Bees Knees Lacquers,Fury in the Flesh,Peach with Green Shimmer,Shimmer,,,Kingdom of the Wicked (GWP)
423,418,4,Bees Knees Lacquers,Beware the Snallygaster,Marigold Yellow with Sparkly Blue Green Shimmer and Silver Blue Flakies,Flakies,,,Yellow Lovers Custom October 2021
405,419,4,Olive & June,CV,True Red,Crème,,,Olive & June Advent Calendar 2022
406,420,4,Olive & June,GH,Baby Pink,Crème,,,Olive & June Advent Calendar 2022
407,421,4,Olive & June,Obsessed,Merlot Maroon,Crème,,,Olive & June Advent Calendar 2022
424,422,4,Bees Knees Lacquers,The Erlking,Royal Purple with Strong Red Shimmer,Shimmer,,,December 22 PPU
397,423,4,Moo Moo's Signatures,The End is Just the Beginning,"White Crelly with Blue, Green, and White Glitters and Pieces",Crelly,,,December 22 PPU
398,424,4,Cuticula,Pixie Glass,"Pastel Lavender with Red, Blue, Green Glass Flakies",Crelly,,,December 22 PPU
425,425,4,Bees Knees Lacquers,Tell Me I'm Your Favorite Sin,Blackened indigo with extra sparkly red to green shimmer,Shimmer,,,Kingdom of the Wicked
426,426,4,Bees Knees Lacquers,"I Believe I'm Powerful, Therefore I Am",Blackened green with red to green ghost flakes and black light reflective glitter,Reflective Glitter,,,Kingdom of the Wicked
363,427,4,Holo Taco,Oat Couture,Ivory Oat Hued,Crushed Holo,,,Holo Barista Bundle
362,428,4,Holo Taco,Blushed Ice,Blush/Rose Gold Nude,Crushed Holo,,,Holo Barista Bundle
361,429,4,Holo Taco,Holo Cappuccino,Medium Tan to Brown,Crushed Holo,,,Holo Barista Bundle
360,430,4,Holo Taco,Need I Say Mocha,True Brown,Crushed Holo,,,Holo Barista Bundle
359,431,4,Holo Taco,Espresso Your Holo,Dark Black Brown,Crushed Holo,,,Holo Barista Bundle
427,432,4,Bees Knees Lacquers,Thou Shalt Suffer for This,black to red Multichrome with silver reflective glitter,Reflective Glitter,,,Empire of the Vampire Collection
428,433,4,Bees Knees Lacquers,To Finding My Destiny,Dark plum with Glowy purple flakes,Flakies,,,AHS: Red Tide
429,434,4,Bees Knees Lacquers,Dark Secrets,Blackened olive nail polish with silver to blue iridescent flakes,Flakies,,,Fear Street 
430,435,4,Bees Knees Lacquers,Sunflowers,Light Green with Golden Shimmer and Reflective Glitter,Reflective Glitter,,,Ukrainian Charity Polish
431,436,4,Bees Knees Lacquers,Arion 2.0,Teal to Emerald Multichrome with Blue Shimmer,Shimmer,,,Lore Olympus Collection
432,437,4,Bees Knees Lacquers,Sloth,Pale Silvery Blue with Holo Flakes,Flakies,,,Kingdom of the Wicked (Mystery)
433,438,4,Bees Knees Lacquers,Cheers to Five Years,A rich violet with green iridescent flakes and emerald light reflective glitter,Reflective Glitter,,,Respawnapalooza Mystery
434,439,4,Bees Knees Lacquers,Dreams That Are Answered,white with Glowy blue shimmer and multicolor iridescent flakes,Flakies,,,A Court of Pain & Feels 2.0 Mystery
435,440,4,Bees Knees Lacquers,I Miss the Fish Cellar,Mid-toned blue with red to green ghost flakes and reflective glitter,Ghost Flakes/Reflective Glitter,,,Six Crimson Cranes
436,441,4,Bees Knees Lacquers,A Ghost is a Wish,Mauve with Glowy Purple Shimmer,Crème,,,Haunting of Hill House 3rd Anniversary
437,442,4,Bees Knees Lacquers,Fit for a Queen,"pale yellow with gold iridescent flakes, Holo flakes, and matte black flakes",Flakies,,,WWDiTS 3 Collection
438,443,4,Bees Knees Lacquers,That Awkward Age,charcoal gray with red to green shimmer and a ton of Holo flakes,Flakies,,,WWDiTS 3 Collection
531,444,4,KBShimmer,Tastes Like,Purple with Glass Flakies,Flakies,,,February 23 PPU
532,445,4,Crystal Knockout,"What, Like It's Hard?",Pink to White Thermal with Rainbow Flakies and Glitter Shimmer,Thermal,,,February 23 PPU
533,446,4,Ethereal,Aphrodite,Pinky Silvery Flakie Textured Holographic,Flakies,,,
534,447,4,Ethereal,Gemini,Raspberry with Ghost Flakies,Flakies,,,Monthly Zodiac
535,448,4,Black Dahlia Lacquer,Liara,Purple Ghost Flake Holographic,Flakies,,,Polished Gamers Box December '22
536,449,4,Glam Polish,Rainbow Colors Will Cheer You Up,White Crelly with Rainbow Chunky Matte Glitter,Glitter,,,
439,450,4,Bees Knees Lacquers,There's My Grumpy Shadow Prince,Blue/Green Multichrome with Black Light Reflective Glitter,Reflective,,,These Hollow Vows Collection
440,451,4,Bees Knees Lacquers,Uni-cornucopia ,Lilac Ultra Holo,Holo,,,
441,452,4,Bees Knees Lacquers,Ohio,Blurple Holo,Holo,,,Charity Polish
442,453,4,Bees Knees Lacquers,Turkiye,Sheer Turquoise with Red Shimmer and Glitter,Glitter,,,Charity Polish
443,454,4,Bees Knees Lacquers,Syria,Red with Red Glitter Holo/Shimmer,Holo,,,Charity Polish
